"id","name","country","founded","industry","no_of_employees","website","description","e_mail"
600,"Roach-Oneal","Montenegro",2008,"Apparel / Fashion",2854,"0",NULL,"no email"
601,"Parrish-Avila","Rwanda",1996,"Railroad Manufacture",4626,"0",NULL,"no email"
602,"Mckee Inc","Tanzania",1981,"Package / Freight Delivery",7878,"0",NULL,"no email"
603,"Hahn, Cobb and Cline","Pitcairn Islands",2014,"Judiciary",6646,"0",NULL,"no email"
604,"Haas, Oliver and Osborn","Mauritius",1987,"Import / Export",6789,"0",NULL,"no email"
605,"Gaines, Gomez and Madden","Israel",2008,"Oil / Energy / Solar / Greentech",1132,"0",NULL,"no email"
606,"Blair LLC","Libyan Arab Jamahiriya",2006,"Market Research",989,"0",NULL,"no email"
607,"Gordon and Sons","Bulgaria",1970,"Cosmetics",4815,"0",NULL,"no email"
608,"Cohen, Saunders and Curtis","Albania",1972,"Other Industry",1999,"0",NULL,"no email"
609,"Castro-Hill","Korea",1992,"Alternative Medicine",4155,"0",NULL,"no email"
610,"Roman Ltd","Mauritius",2019,"Transportation",1888,"0",NULL,"no email"
611,"Donovan-Christian","Denmark",1972,"Broadcast Media",4544,"0",NULL,"no email"
612,"Jacobson-Wang","Gibraltar",1972,"Alternative Medicine",68,"0",NULL,"no email"
613,"Garcia Group","Congo",1983,"Real Estate / Mortgage",818,"0",NULL,"no email"
614,"Everett-Duke","Romania",1999,"Package / Freight Delivery",9578,"0",NULL,"no email"
615,"Matthews, Gilbert and Richardson","United Kingdom",1981,"Graphic Design / Web Design",2273,"0",NULL,"no email"
616,"Pena Inc","Poland",1990,"International Affairs",2178,"0",NULL,"no email"
617,"Simon-Cabrera","Papua New Guinea",2008,"Design",5425,"0",NULL,"no email"
618,"Duran, Conrad and Potts","Sri Lanka",2009,"Import / Export",8838,"0",NULL,"no email"
619,"Bartlett and Sons","Macao",2020,"Aviation / Aerospace",7529,"0",NULL,"no email"
620,"Soto-Perry","Antigua and Barbuda",1992,"Professional Training",7286,"0",NULL,"no email"
621,"Espinoza, Beasley and Jefferson","Togo",2013,"Computer / Network Security",5315,"0",NULL,"no email"
622,"Duncan Inc","Lithuania",2020,"Photography",131,"0",NULL,"no email"
623,"Harris-Clarke","Botswana",2016,"Publishing Industry",6150,"0",NULL,"no email"
624,"Wiley-Mcdaniel","Korea",1993,"Furniture",7175,"0",NULL,"no email"
625,"Powell Group","Kenya",2013,"Chemicals",5802,"0",NULL,"no email"
626,"Chase Inc","Saint Martin",2016,"Financial Services",505,"0",NULL,"no email"
627,"Livingston LLC","Gibraltar",1973,"Machinery",4606,"0",NULL,"no email"
628,"King-Howard","Barbados",1977,"Education Management",321,"0",NULL,"no email"
629,"Park, Gross and Kirk","San Marino",1973,"Aviation / Aerospace",1561,"0",NULL,"no email"
630,"Porter, Schaefer and Fields","Kazakhstan",2005,"Graphic Design / Web Design",6742,"0",NULL,"no email"
631,"Meadows-Macias","Costa Rica",2006,"Transportation",904,"0",NULL,"no email"
632,"Petty Group","Bouvet Island (Bouvetoya)",1985,"Marketing / Advertising / Sales",8830,"0",NULL,"no email"
633,"Griffith-Reyes","Tokelau",1984,"E - Learning",1020,"0",NULL,"no email"
634,"Mcclain, Tucker and Mills","Guyana",2020,"Museums / Institutions",7429,"0",NULL,"no email"
635,"Hardin-Mcdowell","Sri Lanka",1994,"Motion Pictures / Film",386,"0",NULL,"no email"
636,"Brennan LLC","Ghana",1996,"Performing Arts",2037,"0",NULL,"no email"
637,"Liu Inc","Holy See (Vatican City State)",1986,"Automotive",1905,"0",NULL,"no email"
638,"Archer Ltd","Faroe Islands",1988,"Electrical / Electronic Manufacturing",4319,"0",NULL,"no email"
639,"Christian-Lynch","Nicaragua",1989,"Wholesale",2252,"0",NULL,"no email"
640,"Roth Inc","New Zealand",1997,"Telecommunications",4427,"0",NULL,"no email"
641,"Webb, Curtis and Massey","Micronesia",1999,"Recreational Facilities / Services",5722,"0",NULL,"no email"
642,"Coffey, Ali and Glover","Niger",2002,"Legal Services",3362,"0",NULL,"no email"
643,"Vaughn LLC","Botswana",1999,"Food / Beverages",9751,"0",NULL,"no email"
644,"Leon, Kaufman and Richmond","American Samoa",1983,"Printing",3321,"0",NULL,"no email"
645,"Byrd, Pace and Robles","Belgium",1974,"Research Industry",3081,"0",NULL,"no email"
646,"Gregory LLC","United States of America",1979,"Textiles",1682,"0",NULL,"no email"
647,"Novak-Gates","Svalbard & Jan Mayen Islands",1980,"Translation / Localization",36,"0",NULL,"no email"
648,"Beck-Vaughan","Cook Islands",2020,"Publishing Industry",5082,"0",NULL,"no email"
649,"Wilkerson, Luna and Brewer","Cyprus",2009,"Railroad Manufacture",3822,"0",NULL,"no email"
650,"Murphy-Esparza","Bolivia",2012,"Venture Capital / VC",6030,"0",NULL,"no email"
651,"Miles Inc","Angola",1999,"Dairy",3250,"0",NULL,"no email"
652,"Griffin-Mahoney","United States Virgin Islands",1991,"Mining / Metals",7637,"0",NULL,"no email"
653,"Parker, Garza and Mcintosh","American Samoa",1972,"Glass / Ceramics / Concrete",7720,"0",NULL,"no email"
654,"Mclean-Boyle","Niger",2017,"Recreational Facilities / Services",8935,"0",NULL,"no email"
655,"Bradley PLC","Eritrea",2004,"Packaging / Containers",9343,"0",NULL,"no email"
656,"Lowe-Harper","Western Sahara",1975,"Aviation / Aerospace",4331,"0",NULL,"no email"
657,"Riley-Hodge","Egypt",2000,"Translation / Localization",9307,"0",NULL,"no email"
658,"Anderson, Swanson and Cummings","Lithuania",2002,"Wholesale",6596,"0",NULL,"no email"
659,"Anderson, Snyder and Finley","Thailand",2016,"Sporting Goods",8193,"0",NULL,"no email"
660,"Ross and Sons","Peru",1992,"Medical Equipment",5685,"0",NULL,"no email"
661,"Neal, Maxwell and Moore","Haiti",2006,"Business Supplies / Equipment",8738,"0",NULL,"no email"
662,"Yates, Massey and Ortiz","Christmas Island",1995,"Computer Hardware",6330,"0",NULL,"no email"
663,"Sparks and Sons","Moldova",1983,"Staffing / Recruiting",6733,"0",NULL,"no email"
664,"Curry, Villa and Bauer","Wallis and Futuna",1970,"Motion Pictures / Film",6953,"0",NULL,"no email"
665,"Mcconnell-Ballard","Somalia",1984,"Ranching",6843,"0",NULL,"no email"
666,"Rowe-Horton","Argentina",2007,"Renewables / Environment",5422,"0",NULL,"no email"
667,"Harmon-Arellano","Slovenia",1993,"Sports",5411,"0",NULL,"no email"
668,"Lawrence-Vaughan","Slovenia",1998,"Ranching",2999,"0",NULL,"no email"
669,"Parsons, Bradshaw and Waller","French Southern Territories",2021,"Philanthropy",275,"0",NULL,"no email"
670,"Phillips, Gomez and Rocha","Bangladesh",1981,"Telecommunications",5299,"0",NULL,"no email"
671,"Ochoa, Hodges and Jacobson","India",2003,"Alternative Dispute Resolution",8891,"0",NULL,"no email"
672,"Pham, Owens and Frost","Yemen",2007,"Automotive",9158,"0",NULL,"no email"
673,"Young Inc","Ukraine",2007,"Maritime",5033,"0",NULL,"no email"
674,"Caldwell-Burns","Sierra Leone",1988,"Government Relations",3651,"0",NULL,"no email"
675,"Hampton-Sheppard","Montserrat",2017,"Leisure / Travel",4005,"0",NULL,"no email"
676,"Norman, Christian and Johnston","Kyrgyz Republic",2000,"Graphic Design / Web Design",2685,"0",NULL,"no email"
677,"Hobbs Group","Brunei Darussalam",1999,"Logistics / Procurement",1145,"0",NULL,"no email"
678,"Hanson, Newman and Bradley","Algeria",2021,"Individual / Family Services",2135,"0",NULL,"no email"
679,"Winters-Mayo","Morocco",1971,"Computer Networking",6429,"0",NULL,"no email"
680,"Morrison-Cooley","Qatar",2018,"Maritime",6425,"0",NULL,"no email"
681,"Daugherty LLC","Taiwan",2012,"Wholesale",1344,"0",NULL,"no email"
682,"Dean LLC","Mauritania",2019,"Library",5297,"0",NULL,"no email"
683,"Herrera Ltd","Colombia",1987,"Military Industry",4066,"0",NULL,"no email"
684,"Hartman Ltd","Nigeria",1996,"Supermarkets",404,"0",NULL,"no email"
685,"Robles-Kane","Taiwan",2009,"Mental Health Care",5835,"0",NULL,"no email"
686,"Williamson, Howe and Mckenzie","Wallis and Futuna",2007,"Ranching",9419,"0",NULL,"no email"
687,"Carlson, Vargas and Carroll","Georgia",2018,"Ranching",9503,"0",NULL,"no email"
688,"Hardy Ltd","Saint Vincent and the Grenadines",2009,"Executive Office",7638,"0",NULL,"no email"
689,"Mcdaniel Inc","Sao Tome and Principe",1989,"Primary / Secondary Education",4900,"0",NULL,"no email"
690,"Ortiz, Robbins and Burch","Namibia",1991,"Transportation",9661,"0",NULL,"no email"
691,"Preston Inc","Northern Mariana Islands",2015,"Mental Health Care",7936,"0",NULL,"no email"
692,"Hunt LLC","Congo",1972,"Religious Institutions",6176,"0",NULL,"no email"
693,"Turner-Brennan","Guyana",1972,"Packaging / Containers",1852,"0",NULL,"no email"
694,"Walker-Marshall","Niue",2017,"Business Supplies / Equipment",8537,"0",NULL,"no email"
695,"Bolton-Odom","Botswana",1979,"Utilities",7241,"0",NULL,"no email"
696,"Jackson Group","Austria",1984,"E - Learning",8940,"0",NULL,"no email"
697,"Key Inc","United States Virgin Islands",1974,"Alternative Dispute Resolution",3195,"0",NULL,"no email"
698,"Warner LLC","Malawi",1987,"Glass / Ceramics / Concrete",2567,"0",NULL,"no email"
699,"Evans-Hardin","Luxembourg",2002,"Investment Management / Hedge Fund / Private Equity",5866,"0",NULL,"no email"
700,"Meza-Carroll","Azerbaijan",1975,"Packaging / Containers",8073,"0",NULL,"no email"
701,"Ferguson, Frost and Estrada","Sierra Leone",2001,"Dairy",7383,"0",NULL,"no email"
702,"Villa, Levy and Mays","Barbados",1976,"Packaging / Containers",4619,"0",NULL,"no email"
703,"Chan-Coffey","Suriname",1986,"Civic / Social Organization",1818,"0",NULL,"no email"
704,"Hopkins, Shea and Bishop","Bouvet Island (Bouvetoya)",2014,"Venture Capital / VC",1878,"0",NULL,"no email"
705,"Blackwell-Carson","Japan",1974,"Oil / Energy / Solar / Greentech",3389,"0",NULL,"no email"
706,"Huerta, Macdonald and Olson","Heard Island and McDonald Islands",2001,"Primary / Secondary Education",6932,"0",NULL,"no email"
707,"Harmon-Dillon","Niger",1975,"Military Industry",9188,"0",NULL,"no email"
708,"Bradshaw-Orozco","Burundi",1973,"Information Technology / IT",3619,"0",NULL,"no email"
709,"Clay-Bentley","Madagascar",1999,"Venture Capital / VC",734,"0",NULL,"no email"
710,"Ayala-Bradshaw","Central African Republic",2000,"Library",5977,"0",NULL,"no email"
711,"Stevens, Nguyen and Williams","Turkey",1996,"Telecommunications",2567,"0",NULL,"no email"
712,"Hebert, Willis and Bates","Namibia",1993,"Mining / Metals",8012,"0",NULL,"no email"
713,"Lowery, Campbell and Cardenas","Sri Lanka",1999,"Library",4494,"0",NULL,"no email"
714,"Pruitt-Levy","Zambia",1998,"Wholesale",5827,"0",NULL,"no email"
715,"Neal-Nicholson","Central African Republic",2006,"Wine / Spirits",5523,"0",NULL,"no email"
716,"Lopez-Taylor","Bahrain",1973,"Import / Export",4813,"0",NULL,"no email"
717,"Nelson PLC","Zimbabwe",2000,"Maritime",511,"0",NULL,"no email"
718,"Koch, Stephenson and Wilcox","Portugal",2016,"Biotechnology / Greentech",3930,"0",NULL,"no email"
719,"Kim, Santana and Coleman","Libyan Arab Jamahiriya",2007,"Arts / Crafts",3192,"0",NULL,"no email"
720,"Middleton PLC","Benin",1994,"Medical Practice",6412,"0",NULL,"no email"
721,"Tanner-Hanna","Indonesia",2020,"Alternative Dispute Resolution",5429,"0",NULL,"no email"
722,"Simmons-Farmer","Togo",2007,"Higher Education / Acadamia",8162,"0",NULL,"no email"
723,"Salas-Zamora","Mali",2019,"Facilities Services",8973,"0",NULL,"no email"
724,"Finley, Gibson and Stanton","Solomon Islands",2015,"Music",4490,"0",NULL,"no email"
725,"House, Luna and Obrien","Saint Helena",1971,"Tobacco",7071,"0",NULL,"no email"
726,"Henderson, Garrison and Melendez","Cocos (Keeling) Islands",2014,"Publishing Industry",9686,"0",NULL,"no email"
727,"Oconnell-Leonard","Malta",1998,"Program Development",6499,"0",NULL,"no email"
728,"Brady and Sons","Mauritius",2016,"Shipbuilding",5711,"0",NULL,"no email"
729,"Huber, Ferrell and Eaton","New Caledonia",2004,"Events Services",4978,"0",NULL,"no email"
730,"Jensen Group","Peru",2013,"Consumer Services",569,"0",NULL,"no email"
731,"Blevins, Compton and Peck","Korea",1996,"Public Relations / PR",9178,"0",NULL,"no email"
732,"Mann-Hobbs","Sri Lanka",1995,"Packaging / Containers",7171,"0",NULL,"no email"
733,"Shaw, Yang and Morton","Cuba",1985,"Gambling / Casinos",8841,"0",NULL,"no email"
734,"Hale-Hurley","New Caledonia",1998,"Fundraising",1151,"0",NULL,"no email"
735,"Davis-Mclean","Ethiopia",1995,"Security / Investigations",3427,"0",NULL,"no email"
736,"Pena, Davies and Perry","Uruguay",2018,"Mechanical or Industrial Engineering",5067,"0",NULL,"no email"
737,"Glover-Castaneda","Aruba",1990,"Research Industry",6515,"0",NULL,"no email"
738,"Conner-Murphy","Nicaragua",2021,"Shipbuilding",3921,"0",NULL,"no email"
739,"Graves LLC","Cambodia",2013,"Plastics",7150,"0",NULL,"no email"
740,"Guerra, Drake and Rangel","Cambodia",2005,"Warehousing",305,"0",NULL,"no email"
741,"Ford PLC","Lithuania",1989,"Think Tanks",3691,"0",NULL,"no email"
742,"Giles, Ingram and Figueroa","Kyrgyz Republic",1976,"Railroad Manufacture",9719,"0",NULL,"no email"
743,"Simpson, Macdonald and Key","Jordan",1998,"Import / Export",3289,"0",NULL,"no email"
744,"Martinez-Boone","Ecuador",2004,"International Affairs",6346,"0",NULL,"no email"
745,"Wilkins LLC","Bouvet Island (Bouvetoya)",1990,"Sporting Goods",7349,"0",NULL,"no email"
746,"Brooks-Riggs","Tunisia",1982,"Maritime",1912,"0",NULL,"no email"
747,"Fields-Townsend","Ethiopia",1994,"Food Production",4635,"0",NULL,"no email"
748,"Howard-Patton","Slovenia",1994,"Legislative Office",1808,"0",NULL,"no email"
749,"Park-Gomez","Georgia",1998,"Luxury Goods / Jewelry",8228,"0",NULL,"no email"
750,"Huerta-Stephens","Central African Republic",1994,"Industrial Automation",2090,"0",NULL,"no email"
751,"Holmes Ltd","Taiwan",1989,"Telecommunications",7901,"0",NULL,"no email"
752,"Vazquez, Mendez and Morris","United Arab Emirates",1981,"Fundraising",6978,"0",NULL,"no email"
753,"Choi-Briggs","Saint Kitts and Nevis",2010,"Computer Software / Engineering",1377,"0",NULL,"no email"
754,"Page-Mcmahon","Burkina Faso",1995,"Warehousing",3958,"0",NULL,"no email"
755,"Mcdonald, Williamson and Reese","Maldives",1972,"Other Industry",9501,"0",NULL,"no email"
756,"Adkins, Sloan and Burton","Montenegro",1999,"Computer / Network Security",2431,"0",NULL,"no email"
757,"Boyle-Beard","Cyprus",1985,"Political Organization",9283,"0",NULL,"no email"
758,"Flynn, Taylor and Herman","Guyana",1981,"Luxury Goods / Jewelry",5050,"0",NULL,"no email"
759,"Hurst, Camacho and Gill","China",1981,"Venture Capital / VC",802,"0",NULL,"no email"
760,"Richards-Zimmerman","Fiji",2018,"Public Safety",8249,"0",NULL,"no email"
761,"Prince Ltd","Switzerland",1971,"Hospitality",8500,"0",NULL,"no email"
762,"Beltran Group","Grenada",1997,"Program Development",7613,"0",NULL,"no email"
763,"Camacho Ltd","Isle of Man",1982,"Chemicals",8710,"0",NULL,"no email"
764,"Wall-Mcconnell","Central African Republic",2006,"Building Materials",4491,"0",NULL,"no email"
765,"Vazquez LLC","Faroe Islands",1979,"Oil / Energy / Solar / Greentech",3136,"0",NULL,"no email"
766,"Powers-Francis","Guatemala",1988,"Marketing / Advertising / Sales",8184,"0",NULL,"no email"
767,"Mullins, Bird and Kirk","United Kingdom",1993,"Oil / Energy / Solar / Greentech",4804,"0",NULL,"no email"
768,"Romero, Austin and Gentry","Brunei Darussalam",1990,"Railroad Manufacture",8213,"0",NULL,"no email"
769,"Santos-Howard","Montenegro",2003,"Machinery",4475,"0",NULL,"no email"
770,"Beck, James and Soto","Portugal",1992,"Fishery",8712,"0",NULL,"no email"
771,"King-Weaver","Sri Lanka",2019,"Alternative Dispute Resolution",1888,"0",NULL,"no email"
772,"Gray, Khan and Poole","Saint Kitts and Nevis",2007,"Financial Services",2913,"0",NULL,"no email"
773,"Ochoa-Mason","Antarctica (the territory South of 60 deg S)",2011,"Biotechnology / Greentech",7205,"0",NULL,"no email"
774,"Medina-Wells","Andorra",1986,"Online Publishing",8575,"0",NULL,"no email"
775,"Hood Ltd","Norway",2009,"Plastics",7370,"0",NULL,"no email"
776,"Briggs-Delacruz","Georgia",2006,"Glass / Ceramics / Concrete",3098,"0",NULL,"no email"
777,"Mitchell-Ponce","Trinidad and Tobago",2005,"Media Production",4260,"0",NULL,"no email"
778,"Guzman PLC","Antarctica (the territory South of 60 deg S)",1987,"Judiciary",481,"0",NULL,"no email"
779,"Rosales Inc","Lebanon",1986,"Staffing / Recruiting",4470,"0",NULL,"no email"
780,"Ibarra-Klein","United States Minor Outlying Islands",1985,"Oil / Energy / Solar / Greentech",8107,"0",NULL,"no email"
781,"Bentley, Blake and Mclean","Libyan Arab Jamahiriya",1971,"Chemicals",3254,"0",NULL,"no email"
782,"Richmond-Conley","Bolivia",1997,"Political Organization",6412,"0",NULL,"no email"
783,"Wilkinson, Pope and Roach","Jamaica",2009,"Fine Art",5959,"0",NULL,"no email"
784,"Macias-Patton","Brazil",1990,"Wholesale",6403,"0",NULL,"no email"
785,"Oliver, Flores and Pena","Austria",1994,"Medical Equipment",2587,"0",NULL,"no email"
786,"Malone and Sons","Fiji",2013,"Program Development",4587,"0",NULL,"no email"
787,"Mcknight-Brewer","South Georgia and the South Sandwich Islands",2012,"Health / Fitness",604,"0",NULL,"no email"
788,"Tapia, Bush and Brandt","Liberia",1976,"Banking / Mortgage",3378,"0",NULL,"no email"
789,"Wood, Stark and Jacobson","Congo",2006,"Telecommunications",8056,"0",NULL,"no email"
790,"Cole, Wu and Cameron","Yemen",1992,"Environmental Services",2491,"0",NULL,"no email"
791,"Carney-Heath","Macao",2019,"Publishing Industry",5563,"0",NULL,"no email"
792,"Joseph-Stein","French Southern Territories",1990,"Defense / Space",7825,"0",NULL,"no email"
793,"Kent-Nolan","Indonesia",2007,"Oil / Energy / Solar / Greentech",7161,"0",NULL,"no email"
794,"Reed Group","Angola",1976,"International Affairs",4531,"0",NULL,"no email"
795,"Willis, Davenport and Mueller","Philippines",2002,"Chemicals",2443,"0",NULL,"no email"
796,"Meza, Morales and Booker","Slovenia",2014,"Mining / Metals",6662,"0",NULL,"no email"
797,"Valentine and Sons","Swaziland",1986,"Legislative Office",2835,"0",NULL,"no email"
798,"Dennis-Bridges","Antarctica (the territory South of 60 deg S)",1991,"Translation / Localization",648,"0",NULL,"no email"
799,"Atkinson, Good and Burns","Western Sahara",2005,"Shipbuilding",1066,"0",NULL,"no email"
800,"Price and Sons","Iceland",1989,"Consumer Services",599,"0",NULL,"no email"
801,"Berry and Sons","Svalbard & Jan Mayen Islands",1975,"Government Administration",4045,"0",NULL,"no email"
802,"Mercado, Butler and Walsh","Peru",1998,"Hospital / Health Care",8177,"0",NULL,"no email"
803,"Mckee, Lewis and Hays","French Guiana",2010,"Airlines / Aviation",3583,"0",NULL,"no email"
804,"Avery, Owens and Suarez","Mongolia",2006,"Commercial Real Estate",3366,"0",NULL,"no email"
805,"Golden-Riddle","Lebanon",1982,"Investment Banking / Venture",4864,"0",NULL,"no email"
806,"Gallegos, Barrera and Camacho","Uruguay",1991,"Capital Markets / Hedge Fund / Private Equity",9146,"0",NULL,"no email"
807,"Irwin, Contreras and Mann","Singapore",1989,"Market Research",1191,"0",NULL,"no email"
808,"Hickman Inc","Saint Lucia",2008,"Architecture / Planning",5760,"0",NULL,"no email"
809,"Norman-Ford","Ethiopia",2018,"Financial Services",3382,"0",NULL,"no email"
810,"Estes, Gilbert and Blevins","Vanuatu",1994,"Apparel / Fashion",5565,"0",NULL,"no email"
811,"Mejia, Woods and Austin","Tuvalu",2010,"Alternative Dispute Resolution",1987,"0",NULL,"no email"
812,"Bryan Group","New Zealand",2021,"Banking / Mortgage",3079,"0",NULL,"no email"
813,"Suarez-Flynn","Mauritius",1998,"Legal Services",9600,"0",NULL,"no email"
814,"Calhoun, Becker and Madden","Saint Helena",1983,"Civic / Social Organization",8073,"0",NULL,"no email"
815,"Wells Group","Marshall Islands",2021,"Maritime",1464,"0",NULL,"no email"
816,"Lopez PLC","Tonga",1995,"E - Learning",444,"0",NULL,"no email"
817,"Valencia Group","Seychelles",1999,"Higher Education / Acadamia",499,"0",NULL,"no email"
818,"Mcpherson, Davila and Richard","Reunion",1975,"E - Learning",8856,"0",NULL,"no email"
819,"Mcdonald, Jacobson and Fischer","Czech Republic",1975,"Outsourcing / Offshoring",6572,"0",NULL,"no email"
820,"Herring-Blake","Falkland Islands (Malvinas)",2002,"Internet",2268,"0",NULL,"no email"
821,"Horne, Cherry and Santana","Azerbaijan",1981,"Financial Services",7298,"0",NULL,"no email"
822,"Mays-Beasley","Montenegro",1972,"Publishing Industry",7397,"0",NULL,"no email"
823,"Stuart Ltd","Azerbaijan",2021,"Luxury Goods / Jewelry",6472,"0",NULL,"no email"
824,"Montes Inc","Russian Federation",2014,"Railroad Manufacture",5365,"0",NULL,"no email"
825,"Scott, Simpson and Burch","Dominica",1979,"Furniture",4408,"0",NULL,"no email"
826,"Ellis, Ewing and Steele","Taiwan",1994,"Mental Health Care",4111,"0",NULL,"no email"
827,"Rios, Huerta and Levy","United Kingdom",2010,"Glass / Ceramics / Concrete",5011,"0",NULL,"no email"
828,"Holland Ltd","British Virgin Islands",1995,"Plastics",5096,"0",NULL,"no email"
829,"Cowan-Sanford","Switzerland",2016,"Shipbuilding",5200,"0",NULL,"no email"
830,"Whitehead and Sons","Bolivia",2005,"Oil / Energy / Solar / Greentech",338,"0",NULL,"no email"
831,"Espinoza, Stephens and Spencer","Central African Republic",2002,"Glass / Ceramics / Concrete",3784,"0",NULL,"no email"
832,"Kane, Baldwin and Clayton","Syrian Arab Republic",1980,"Library",9592,"0",NULL,"no email"
833,"Lowe LLC","American Samoa",1971,"Political Organization",7249,"0",NULL,"no email"
834,"Malone Group","Sweden",2011,"Business Supplies / Equipment",9386,"0",NULL,"no email"
835,"Contreras, Bryant and Eaton","Saint Helena",1992,"Logistics / Procurement",5196,"0",NULL,"no email"
836,"Terrell Inc","China",1983,"Food / Beverages",7961,"0",NULL,"no email"
837,"Good, Mcconnell and Ballard","Bahamas",1991,"Information Technology / IT",4089,"0",NULL,"no email"
838,"Chang, Solis and Beasley","Liechtenstein",2011,"Staffing / Recruiting",3267,"0",NULL,"no email"
839,"Yates, Hines and Cohen","Hungary",2002,"Computer / Network Security",6926,"0",NULL,"no email"
840,"Flowers, Poole and Rose","Seychelles",1994,"Wholesale",7678,"0",NULL,"no email"
841,"Greer LLC","Macedonia",2010,"Think Tanks",9656,"0",NULL,"no email"
842,"Vargas Ltd","Dominica",1989,"Human Resources / HR",3162,"0",NULL,"no email"
843,"Ali, Thomas and Steele","Lithuania",1996,"Gambling / Casinos",6541,"0",NULL,"no email"
844,"Patterson, Reid and Randolph","Saint Helena",2018,"Internet",3434,"0",NULL,"no email"
845,"Calhoun and Sons","Jordan",1999,"Government Administration",5723,"0",NULL,"no email"
846,"Riddle, Woodard and Lara","Saint Kitts and Nevis",1975,"Information Technology / IT",7338,"0",NULL,"no email"
847,"Cook-Dunn","Gibraltar",2009,"Marketing / Advertising / Sales",6176,"0",NULL,"no email"
848,"Walker Group","Palau",2000,"Civic / Social Organization",9952,"0",NULL,"no email"
849,"Moon-Stein","United States Virgin Islands",2007,"Individual / Family Services",5477,"0",NULL,"no email"
850,"Graham-Hudson","Martinique",1988,"Ranching",9392,"0",NULL,"no email"
851,"Payne, Blevins and Bonilla","Ireland",2012,"Alternative Medicine",7649,"0",NULL,"no email"
852,"Fisher PLC","Monaco",2007,"Research Industry",2983,"0",NULL,"no email"
853,"Sanchez, Pugh and Decker","Chile",2022,"Alternative Dispute Resolution",8917,"0",NULL,"no email"
854,"Mcbride PLC","Guernsey",1986,"Machinery",9376,"0",NULL,"no email"
855,"Parrish Group","Heard Island and McDonald Islands",1988,"Defense / Space",4308,"0",NULL,"no email"
856,"Mercer, Bush and Moore","Mali",2002,"Writing / Editing",9852,"0",NULL,"no email"
857,"Padilla and Sons","Malaysia",1998,"Media Production",7222,"0",NULL,"no email"
858,"Huerta-Gates","Mongolia",2001,"Market Research",2142,"0",NULL,"no email"
859,"Wong Inc","Zimbabwe",1976,"Performing Arts",2168,"0",NULL,"no email"
860,"Meadows, Howard and York","Honduras",1997,"Computer Games",6597,"0",NULL,"no email"
861,"Hayes-Larsen","Ecuador",2005,"Food / Beverages",5540,"0",NULL,"no email"
862,"Herrera Ltd","United States Minor Outlying Islands",1981,"Consumer Electronics",5244,"0",NULL,"no email"
863,"Holmes-Wise","Holy See (Vatican City State)",2001,"Mental Health Care",5662,"0",NULL,"no email"
864,"Glover, Roach and Alexander","Gambia",1971,"Apparel / Fashion",8383,"0",NULL,"no email"
865,"Mooney and Sons","Saint Lucia",2004,"Renewables / Environment",488,"0",NULL,"no email"
866,"Hurley Group","Christmas Island",1987,"Staffing / Recruiting",9469,"0",NULL,"no email"
867,"May-Baird","Qatar",2009,"Government Administration",8399,"0",NULL,"no email"
868,"Santana Group","Heard Island and McDonald Islands",2022,"Fishery",8873,"0",NULL,"no email"
869,"Dixon Ltd","Jordan",2018,"Philanthropy",1397,"0",NULL,"no email"
870,"Beard-Hoffman","Turkmenistan",2004,"Computer Games",5485,"0",NULL,"no email"
871,"Murray-Meadows","British Indian Ocean Territory (Chagos Archipelago)",1996,"International Trade / Development",9655,"0",NULL,"no email"
872,"Perry, Doyle and Arias","Saint Lucia",1987,"Oil / Energy / Solar / Greentech",9052,"0",NULL,"no email"
873,"Tyler-Holland","Madagascar",1970,"Banking / Mortgage",6020,"0",NULL,"no email"
874,"Romero LLC","United Kingdom",1990,"Investment Management / Hedge Fund / Private Equity",6827,"0",NULL,"no email"
875,"Adkins, Stewart and Lara","Cuba",1988,"Renewables / Environment",1715,"0",NULL,"no email"
876,"Drake PLC","Maldives",1972,"Museums / Institutions",6654,"0",NULL,"no email"
877,"Short, Stark and Anthony","Syrian Arab Republic",1978,"Religious Institutions",811,"0",NULL,"no email"
878,"Lara Inc","Slovenia",2001,"Motion Pictures / Film",2186,"0",NULL,"no email"
879,"Mejia Inc","Cote d'Ivoire",1972,"Luxury Goods / Jewelry",7578,"0",NULL,"no email"
880,"Daniels, Hester and Spence","Latvia",1980,"Fishery",6822,"0",NULL,"no email"
881,"Page-Estrada","Thailand",2003,"Apparel / Fashion",2633,"0",NULL,"no email"
882,"Walls-Golden","Saint Pierre and Miquelon",2009,"Architecture / Planning",5237,"0",NULL,"no email"
883,"Rogers Inc","British Virgin Islands",1979,"Hospitality",886,"0",NULL,"no email"
884,"Patrick-Frank","Zambia",2010,"Events Services",4585,"0",NULL,"no email"
885,"Stewart Group","Isle of Man",2016,"Media Production",6085,"0",NULL,"no email"
886,"Rubio, Mcintosh and Lewis","Guernsey",2009,"Ranching",2882,"0",NULL,"no email"
887,"Moon-Brewer","South Africa",1983,"Furniture",226,"0",NULL,"no email"
888,"Charles, Velazquez and Woods","Korea",2010,"Cosmetics",6922,"0",NULL,"no email"
889,"Kramer, Meyers and Mckinney","Gambia",1978,"Renewables / Environment",2101,"0",NULL,"no email"
890,"Alvarado Ltd","Papua New Guinea",2003,"Graphic Design / Web Design",2386,"0",NULL,"no email"
891,"Reeves-Martinez","Germany",1974,"Writing / Editing",6639,"0",NULL,"no email"
