"id","name","country","founded","industry","no_of_employees"
801,"Berry and Sons","Svalbard & Jan Mayen Islands",1975,"Government Administration",4045
802,"Mercado, Butler and Walsh","Peru",1998,"Hospital / Health Care",8177
803,"Mckee, Lewis and Hays","French Guiana",2010,"Airlines / Aviation",3583
804,"Avery, Owens and Suarez","Mongolia",2006,"Commercial Real Estate",3366
805,"Golden-Riddle","Lebanon",1982,"Investment Banking / Venture",4864
806,"Gallegos, Barrera and Camacho","Uruguay",1991,"Capital Markets / Hedge Fund / Private Equity",9146
807,"Irwin, Contreras and Mann","Singapore",1989,"Market Research",1191
808,"Hickman Inc","Saint Lucia",2008,"Architecture / Planning",5760
809,"Norman-Ford","Ethiopia",2018,"Financial Services",3382
810,"Estes, Gilbert and Blevins","Vanuatu",1994,"Apparel / Fashion",5565
811,"Mejia, Woods and Austin","Tuvalu",2010,"Alternative Dispute Resolution",1987
812,"Bryan Group","New Zealand",2021,"Banking / Mortgage",3079
813,"Suarez-Flynn","Mauritius",1998,"Legal Services",9600
814,"Calhoun, Becker and Madden","Saint Helena",1983,"Civic / Social Organization",8073
815,"Wells Group","Marshall Islands",2021,"Maritime",1464
816,"Lopez PLC","Tonga",1995,"E - Learning",444
817,"Valencia Group","Seychelles",1999,"Higher Education / Acadamia",499
818,"Mcpherson, Davila and Richard","Reunion",1975,"E - Learning",8856
819,"Mcdonald, Jacobson and Fischer","Czech Republic",1975,"Outsourcing / Offshoring",6572
820,"Herring-Blake","Falkland Islands (Malvinas)",2002,"Internet",2268
821,"Horne, Cherry and Santana","Azerbaijan",1981,"Financial Services",7298
822,"Mays-Beasley","Montenegro",1972,"Publishing Industry",7397
823,"Stuart Ltd","Azerbaijan",2021,"Luxury Goods / Jewelry",6472
824,"Montes Inc","Russian Federation",2014,"Railroad Manufacture",5365
825,"Scott, Simpson and Burch","Dominica",1979,"Furniture",4408
826,"Ellis, Ewing and Steele","Taiwan",1994,"Mental Health Care",4111
827,"Rios, Huerta and Levy","United Kingdom",2010,"Glass / Ceramics / Concrete",5011
828,"Holland Ltd","British Virgin Islands",1995,"Plastics",5096
829,"Cowan-Sanford","Switzerland",2016,"Shipbuilding",5200
830,"Whitehead and Sons","Bolivia",2005,"Oil / Energy / Solar / Greentech",338
831,"Espinoza, Stephens and Spencer","Central African Republic",2002,"Glass / Ceramics / Concrete",3784
832,"Kane, Baldwin and Clayton","Syrian Arab Republic",1980,"Library",9592
833,"Lowe LLC","American Samoa",1971,"Political Organization",7249
834,"Malone Group","Sweden",2011,"Business Supplies / Equipment",9386
835,"Contreras, Bryant and Eaton","Saint Helena",1992,"Logistics / Procurement",5196
836,"Terrell Inc","China",1983,"Food / Beverages",7961
837,"Good, Mcconnell and Ballard","Bahamas",1991,"Information Technology / IT",4089
838,"Chang, Solis and Beasley","Liechtenstein",2011,"Staffing / Recruiting",3267
839,"Yates, Hines and Cohen","Hungary",2002,"Computer / Network Security",6926
840,"Flowers, Poole and Rose","Seychelles",1994,"Wholesale",7678
841,"Greer LLC","Macedonia",2010,"Think Tanks",9656
842,"Vargas Ltd","Dominica",1989,"Human Resources / HR",3162
843,"Ali, Thomas and Steele","Lithuania",1996,"Gambling / Casinos",6541
844,"Patterson, Reid and Randolph","Saint Helena",2018,"Internet",3434
845,"Calhoun and Sons","Jordan",1999,"Government Administration",5723
846,"Riddle, Woodard and Lara","Saint Kitts and Nevis",1975,"Information Technology / IT",7338
847,"Cook-Dunn","Gibraltar",2009,"Marketing / Advertising / Sales",6176
848,"Walker Group","Palau",2000,"Civic / Social Organization",9952
849,"Moon-Stein","United States Virgin Islands",2007,"Individual / Family Services",5477
850,"Graham-Hudson","Martinique",1988,"Ranching",9392
851,"Payne, Blevins and Bonilla","Ireland",2012,"Alternative Medicine",7649
852,"Fisher PLC","Monaco",2007,"Research Industry",2983
853,"Sanchez, Pugh and Decker","Chile",2022,"Alternative Dispute Resolution",8917
854,"Mcbride PLC","Guernsey",1986,"Machinery",9376
855,"Parrish Group","Heard Island and McDonald Islands",1988,"Defense / Space",4308
856,"Mercer, Bush and Moore","Mali",2002,"Writing / Editing",9852
857,"Padilla and Sons","Malaysia",1998,"Media Production",7222
858,"Huerta-Gates","Mongolia",2001,"Market Research",2142
859,"Wong Inc","Zimbabwe",1976,"Performing Arts",2168
860,"Meadows, Howard and York","Honduras",1997,"Computer Games",6597
861,"Hayes-Larsen","Ecuador",2005,"Food / Beverages",5540
862,"Herrera Ltd","United States Minor Outlying Islands",1981,"Consumer Electronics",5244
863,"Holmes-Wise","Holy See (Vatican City State)",2001,"Mental Health Care",5662
864,"Glover, Roach and Alexander","Gambia",1971,"Apparel / Fashion",8383
865,"Mooney and Sons","Saint Lucia",2004,"Renewables / Environment",488
866,"Hurley Group","Christmas Island",1987,"Staffing / Recruiting",9469
867,"May-Baird","Qatar",2009,"Government Administration",8399
868,"Santana Group","Heard Island and McDonald Islands",2022,"Fishery",8873
869,"Dixon Ltd","Jordan",2018,"Philanthropy",1397
870,"Beard-Hoffman","Turkmenistan",2004,"Computer Games",5485
871,"Murray-Meadows","British Indian Ocean Territory (Chagos Archipelago)",1996,"International Trade / Development",9655
872,"Perry, Doyle and Arias","Saint Lucia",1987,"Oil / Energy / Solar / Greentech",9052
873,"Tyler-Holland","Madagascar",1970,"Banking / Mortgage",6020
874,"Romero LLC","United Kingdom",1990,"Investment Management / Hedge Fund / Private Equity",6827
875,"Adkins, Stewart and Lara","Cuba",1988,"Renewables / Environment",1715
876,"Drake PLC","Maldives",1972,"Museums / Institutions",6654
877,"Short, Stark and Anthony","Syrian Arab Republic",1978,"Religious Institutions",811
878,"Lara Inc","Slovenia",2001,"Motion Pictures / Film",2186
879,"Mejia Inc","Cote d'Ivoire",1972,"Luxury Goods / Jewelry",7578
880,"Daniels, Hester and Spence","Latvia",1980,"Fishery",6822
881,"Page-Estrada","Thailand",2003,"Apparel / Fashion",2633
882,"Walls-Golden","Saint Pierre and Miquelon",2009,"Architecture / Planning",5237
883,"Rogers Inc","British Virgin Islands",1979,"Hospitality",886
884,"Patrick-Frank","Zambia",2010,"Events Services",4585
885,"Stewart Group","Isle of Man",2016,"Media Production",6085
886,"Rubio, Mcintosh and Lewis","Guernsey",2009,"Ranching",2882
887,"Moon-Brewer","South Africa",1983,"Furniture",226
888,"Charles, Velazquez and Woods","Korea",2010,"Cosmetics",6922
889,"Kramer, Meyers and Mckinney","Gambia",1978,"Renewables / Environment",2101
890,"Alvarado Ltd","Papua New Guinea",2003,"Graphic Design / Web Design",2386
891,"Reeves-Martinez","Germany",1974,"Writing / Editing",6639
892,"Peck, Rogers and Conrad","Greece",1987,"Mechanical or Industrial Engineering",6458
893,"Novak PLC","Bouvet Island (Bouvetoya)",1973,"Non - Profit / Volunteering",5821
894,"Carter, Hodge and Franco","Christmas Island",2019,"Maritime",2191
895,"Waller-Mcfarland","Slovakia (Slovak Republic)",1982,"Plastics",2055
896,"Hayes, Saunders and Richards","Portugal",2021,"Medical Practice",2526
897,"Herring-Orr","Germany",2003,"Financial Services",8986
898,"Bridges Ltd","Tuvalu",1997,"International Trade / Development",1583
899,"Walsh-Shelton","Tunisia",2001,"Pharmaceuticals",9737
900,"George-Hamilton","Gambia",1980,"Medical Equipment",3399
901,"Hartman and Sons","Senegal",1987,"Industrial Automation",8987
902,"Chen PLC","Germany",2006,"Environmental Services",3547
903,"Wilkins and Sons","Switzerland",1994,"Information Services",8335
904,"Mckay Inc","Tajikistan",1974,"Non - Profit / Volunteering",4823
905,"Jennings-Drake","Cambodia",1977,"Leisure / Travel",1422
906,"Wolfe-Figueroa","United Arab Emirates",1999,"Law Practice / Law Firms",6709
907,"Grant LLC","Ireland",2012,"Warehousing",2368
908,"Ochoa-Vaughn","Kyrgyz Republic",2007,"Ranching",4342
909,"Rodgers LLC","Congo",1980,"Executive Office",1587
910,"Ford-Stanton","Falkland Islands (Malvinas)",2005,"Wholesale",1903
911,"Clements Group","Guinea",2017,"Outsourcing / Offshoring",1615
912,"Mann-Mason","Faroe Islands",2001,"Business Supplies / Equipment",2726
913,"Wilkins and Sons","Tokelau",1996,"Accounting",4615
914,"Becker-Mann","Congo",1973,"Farming",795
915,"Cortez-Gibson","Singapore",2006,"Furniture",7581
916,"Randolph, Trujillo and Frost","Finland",1987,"Online Publishing",4238
917,"Allison-Spears","Egypt",2008,"Broadcast Media",869
918,"Parks Group","Saint Vincent and the Grenadines",2011,"Insurance",7625
919,"Webster-Mclean","Saint Vincent and the Grenadines",1991,"Music",5392
920,"Rhodes Ltd","Tonga",2006,"Health / Fitness",3565
921,"Floyd, Novak and Cohen","Nicaragua",2001,"Philanthropy",8594
922,"Bennett PLC","Niue",2001,"Aviation / Aerospace",8909
923,"Macdonald Group","Antigua and Barbuda",2016,"Individual / Family Services",778
924,"Mcconnell, Hardin and Heath","Netherlands",1994,"Printing",5359
925,"Collins Group","Andorra",2002,"Alternative Dispute Resolution",6644
926,"Mccullough and Sons","Cook Islands",1985,"Publishing Industry",3634
927,"Farmer-Paul","Mongolia",2002,"Capital Markets / Hedge Fund / Private Equity",6681
928,"Murillo-Woods","Bolivia",1981,"Food / Beverages",7222
929,"Trevino Group","Benin",2012,"Renewables / Environment",3985
930,"Fitzgerald, Dunn and Edwards","Malta",2019,"Military Industry",4200
931,"Novak, Petty and Mcintyre","British Indian Ocean Territory (Chagos Archipelago)",1979,"Wireless",7809
932,"Oliver-Walter","Panama",1995,"Information Services",3910
933,"Silva-Ray","Haiti",2002,"Capital Markets / Hedge Fund / Private Equity",7913
934,"Riddle, Leach and Gould","Afghanistan",1991,"Ranching",3695
935,"Mckinney PLC","Guadeloupe",2001,"Hospital / Health Care",7846
936,"Hodges, Good and Kirby","Haiti",2012,"Computer Hardware",5703
937,"Kelley-Cantu","Zimbabwe",2018,"Library",5526
938,"Lozano-Brooks","Moldova",2016,"Gambling / Casinos",5730
939,"Hicks PLC","Saint Lucia",1979,"Security / Investigations",880
940,"Morse PLC","Timor-Leste",2017,"Supermarkets",9044
941,"Rush PLC","Saint Barthelemy",2009,"Government Relations",1141
942,"Barr, James and Gilbert","Cyprus",1989,"Paper / Forest Products",8147
943,"Miranda, Bell and Sanders","Liberia",1995,"Fine Art",895
944,"Coffey, Pope and Sims","Cuba",2013,"Pharmaceuticals",6139
945,"Montoya Group","Micronesia",1970,"Medical Equipment",6865
946,"Dominguez, Branch and Mcgee","New Caledonia",2000,"Railroad Manufacture",9858
947,"Fuentes Ltd","Bhutan",2019,"Industrial Automation",643
948,"Hansen, Chan and Molina","Benin",1994,"Translation / Localization",8534
949,"Willis-Skinner","Belize",2014,"Religious Institutions",2540
950,"Ballard and Sons","Nicaragua",1988,"Apparel / Fashion",8756
951,"Esparza LLC","Cook Islands",1994,"Telecommunications",2776
952,"Carson-Salas","Iceland",2021,"Furniture",2253
953,"Mckee-Bonilla","Bolivia",2013,"Leisure / Travel",157
954,"Espinoza LLC","Armenia",1979,"Law Practice / Law Firms",7668
955,"Olson-Curtis","Slovenia",1998,"Individual / Family Services",2529
956,"Landry Group","Burkina Faso",2019,"Chemicals",2273
957,"Logan-Chen","Burkina Faso",1996,"Industrial Automation",7532
958,"Gordon-Marshall","China",2019,"Accounting",5282
959,"Pollard and Sons","Gambia",1979,"Insurance",3098
960,"Bryan PLC","Gambia",1986,"Government Administration",8423
961,"Mckay and Sons","Venezuela",1987,"Government Administration",4906
962,"Dickerson, Dennis and Decker","San Marino",1990,"Oil / Energy / Solar / Greentech",1306
963,"Caldwell, Shaffer and Woods","British Virgin Islands",1974,"Health / Fitness",959
964,"Thomas, Hudson and Reyes","Montenegro",1984,"Museums / Institutions",5311
965,"Wheeler and Sons","South Africa",2011,"Health / Fitness",3958
966,"Sherman-Sutton","Kiribati",1972,"Electrical / Electronic Manufacturing",3488
967,"Avila-Garza","Austria",1987,"Computer Networking",4204
968,"Blackwell, Kidd and Shields","Bolivia",1971,"Higher Education / Acadamia",219
969,"Blanchard, Forbes and Mendez","Brunei Darussalam",1994,"Import / Export",5533
970,"Khan, Trevino and Armstrong","Uzbekistan",1985,"Legal Services",1559
971,"Sanford LLC","American Samoa",1980,"Computer Hardware",3512
972,"Norris Ltd","Rwanda",2006,"Glass / Ceramics / Concrete",3416
973,"Griffin and Sons","Australia",2000,"Other Industry",7640
974,"Lewis, Frank and Pittman","Central African Republic",1985,"Legislative Office",6628
975,"Oconnor Ltd","Norway",2019,"Outsourcing / Offshoring",9774
976,"Hanna-Richardson","Nicaragua",1975,"Sporting Goods",8738
977,"Mcclain-Wilcox","Cameroon",1981,"Pharmaceuticals",1740
978,"Cunningham and Sons","Turks and Caicos Islands",1991,"Import / Export",2190
979,"Pearson-Fletcher","Bolivia",1987,"Consumer Services",7374
980,"Potter, Murillo and Garza","Algeria",1977,"Music",1552
981,"Duffy and Sons","Burkina Faso",2011,"Insurance",5250
982,"Harvey-Horton","Austria",2007,"Pharmaceuticals",3787
983,"Finley-Lee","Mexico",1985,"Utilities",6652
984,"Morse and Sons","Serbia",1975,"Gambling / Casinos",1580
985,"Johns-Pham","Tunisia",2009,"Oil / Energy / Solar / Greentech",4644
986,"Tucker, Rocha and Bonilla","Anguilla",2016,"Library",8125
987,"Mullins, Castaneda and Bernard","Argentina",1998,"Research Industry",8861
988,"Alexander PLC","Barbados",1999,"Financial Services",3866
989,"Bass, Mcintosh and Harrison","Jordan",1983,"Insurance",2712
990,"Tanner, Lambert and Strickland","Botswana",1985,"Recreational Facilities / Services",5597
991,"Nixon LLC","Tanzania",2019,"Writing / Editing",7940
992,"Vega, Miller and Calderon","Cambodia",2012,"Professional Training",8250
993,"Howe and Sons","Cocos (Keeling) Islands",2007,"Logistics / Procurement",1424
994,"Hood Ltd","Cote d'Ivoire",1972,"Machinery",640
995,"Curtis LLC","Finland",1975,"Philanthropy",36
996,"Bullock Group","Turkmenistan",1998,"Wine / Spirits",6547
997,"Mason Inc","United States of America",2015,"Law Enforcement",9723
998,"Houston and Sons","Kenya",1981,"Civic / Social Organization",5355
999,"Olson-Solomon","Cocos (Keeling) Islands",2013,"Investment Banking / Venture",3825
1000,"Maddox, Owen and Shepherd","Guinea",2019,"Animation",4467
